iter	Logloss
0	0.6485193141
1	0.6121472956
2	0.574588387
3	0.5445409717
4	0.51995699
5	0.4932928384
6	0.4663214298
7	0.4444830807
8	0.4232384481
9	0.4011127864
10	0.3863948828
11	0.3705989572
12	0.355383709
13	0.3380451354
14	0.3225528373
15	0.305789349
16	0.2948394902
17	0.2826597571
18	0.2716883519
19	0.2590405627
20	0.2498831527
21	0.2404623298
22	0.2313582742
23	0.2245245547
24	0.2160065977
25	0.2087495527
26	0.202291063
27	0.1954241976
28	0.1884557568
29	0.182836963
30	0.1778441849
31	0.1737894915
32	0.1665792188
33	0.1602790472
34	0.1548618185
35	0.1499275014
36	0.1451639386
37	0.1404187793
38	0.1368340977
39	0.1319603329
40	0.1289802522
41	0.1247182407
42	0.1215578271
43	0.1178144473
44	0.1154271204
45	0.1121685234
46	0.1082639028
47	0.1047177583
48	0.1024953173
49	0.09947191336
50	0.09680530734
51	0.0940160855
52	0.09200560445
53	0.08973278518
54	0.08795937877
55	0.08538094986
56	0.08278875357
57	0.08089613547
58	0.07893738611
59	0.0770271615
