iter	Passed	Remaining
0	1	72
1	2	63
2	3	58
3	3	54
4	4	53
5	5	53
6	6	51
7	7	50
8	8	50
9	9	49
10	10	48
11	11	47
12	12	46
13	13	44
14	14	43
15	15	42
16	16	41
17	17	40
18	18	39
19	19	38
20	20	38
21	21	37
22	22	36
23	23	35
24	24	34
25	25	33
26	26	32
27	27	31
28	28	30
29	29	29
30	30	28
31	31	27
32	32	26
33	33	25
34	34	24
35	35	23
36	36	22
37	37	21
38	38	20
39	39	19
40	40	18
41	41	17
42	42	16
43	44	16
44	45	15
45	46	14
46	47	13
47	48	12
48	49	11
49	50	10
50	51	9
51	52	8
52	53	7
53	55	6
54	56	5
55	57	4
56	58	3
57	59	2
58	60	1
59	62	0
