,Model,Metric,Score
0,Decision Tree,F1_score,0.888888888888889
1,Decision Tree,F1_score,0.9292929292929293
2,Decision Tree,F1_score,0.6851851851851852
3,Decision Tree,F1_score,0.8163265306122449
4,Decision Tree,F1_score,0.8760330578512397
5,Linear SVM,F1_score,0.7741935483870969
6,Linear SVM,F1_score,0.9607843137254902
7,Linear SVM,F1_score,0.64
8,Linear SVM,F1_score,0.9111111111111111
9,Linear SVM,F1_score,0.8793103448275862
10,DT-based Bagging,F1_score,0.9156626506024096
11,DT-based Bagging,F1_score,0.9807692307692307
12,DT-based Bagging,F1_score,0.6736842105263158
13,DT-based Bagging,F1_score,0.8224299065420562
14,DT-based Bagging,F1_score,1.0
15,RandomForest,F1_score,0.9024390243902439
16,RandomForest,F1_score,0.970873786407767
17,RandomForest,F1_score,0.6947368421052631
18,RandomForest,F1_score,0.8301886792452831
19,RandomForest,F1_score,1.0
20,AdaBoost,F1_score,0.9574468085106383
21,AdaBoost,F1_score,1.0
22,AdaBoost,F1_score,0.7096774193548386
23,AdaBoost,F1_score,0.8235294117647058
24,AdaBoost,F1_score,0.9904761904761905
25,GradientBoost,F1_score,1.0
26,GradientBoost,F1_score,1.0
27,GradientBoost,F1_score,0.702127659574468
28,GradientBoost,F1_score,0.8301886792452831
29,GradientBoost,F1_score,1.0
30,XGBoost,F1_score,0.9411764705882353
31,XGBoost,F1_score,0.9807692307692307
32,XGBoost,F1_score,0.6881720430107527
33,XGBoost,F1_score,0.8349514563106797
34,XGBoost,F1_score,1.0
35,CatBoost,F1_score,0.888888888888889
36,CatBoost,F1_score,0.9904761904761905
37,CatBoost,F1_score,0.702127659574468
38,CatBoost,F1_score,0.8627450980392156
39,CatBoost,F1_score,1.0
40,Decision Tree,F1_score,0.888888888888889
41,Decision Tree,F1_score,0.9292929292929293
42,Decision Tree,F1_score,0.6851851851851852
43,Decision Tree,F1_score,0.8163265306122449
44,Decision Tree,F1_score,0.8760330578512397
45,Linear SVM,F1_score,0.7741935483870969
46,Linear SVM,F1_score,0.9607843137254902
47,Linear SVM,F1_score,0.64
48,Linear SVM,F1_score,0.9111111111111111
49,Linear SVM,F1_score,0.8793103448275862
50,DT-based Bagging,F1_score,0.9655172413793104
51,DT-based Bagging,F1_score,0.9807692307692307
52,DT-based Bagging,F1_score,0.7173913043478262
53,DT-based Bagging,F1_score,0.8148148148148148
54,DT-based Bagging,F1_score,0.9807692307692307
55,RandomForest,F1_score,0.9156626506024096
56,RandomForest,F1_score,0.9607843137254902
57,RandomForest,F1_score,0.6947368421052631
58,RandomForest,F1_score,0.8301886792452831
59,RandomForest,F1_score,1.0
60,AdaBoost,F1_score,0.9183673469387755
61,AdaBoost,F1_score,1.0
62,AdaBoost,F1_score,0.7096774193548386
63,AdaBoost,F1_score,0.7818181818181817
64,AdaBoost,F1_score,0.9904761904761905
65,GradientBoost,F1_score,1.0
66,GradientBoost,F1_score,1.0
67,GradientBoost,F1_score,0.702127659574468
68,GradientBoost,F1_score,0.8301886792452831
69,GradientBoost,F1_score,1.0
70,XGBoost,F1_score,0.9411764705882353
71,XGBoost,F1_score,0.9807692307692307
72,XGBoost,F1_score,0.6881720430107527
73,XGBoost,F1_score,0.8349514563106797
74,XGBoost,F1_score,1.0
75,CatBoost,F1_score,0.888888888888889
76,CatBoost,F1_score,0.9904761904761905
77,CatBoost,F1_score,0.702127659574468
78,CatBoost,F1_score,0.8627450980392156
79,CatBoost,F1_score,1.0
80,Decision Tree,F1_score,0.888888888888889
81,Decision Tree,F1_score,0.9292929292929293
82,Decision Tree,F1_score,0.6851851851851852
83,Decision Tree,F1_score,0.8163265306122449
84,Decision Tree,F1_score,0.8760330578512397
85,Linear SVM,F1_score,0.7741935483870969
86,Linear SVM,F1_score,0.9607843137254902
87,Linear SVM,F1_score,0.64
88,Linear SVM,F1_score,0.9111111111111111
89,Linear SVM,F1_score,0.8793103448275862
90,DT-based Bagging,F1_score,0.9285714285714286
91,DT-based Bagging,F1_score,0.9807692307692307
92,DT-based Bagging,F1_score,0.702127659574468
93,DT-based Bagging,F1_score,0.8301886792452831
94,DT-based Bagging,F1_score,1.0
95,RandomForest,F1_score,0.9156626506024096
96,RandomForest,F1_score,0.9504950495049505
97,RandomForest,F1_score,0.6947368421052631
98,RandomForest,F1_score,0.8301886792452831
99,RandomForest,F1_score,0.9904761904761905
100,AdaBoost,F1_score,0.9782608695652174
101,AdaBoost,F1_score,1.0
102,AdaBoost,F1_score,0.7096774193548386
103,AdaBoost,F1_score,0.8490566037735848
104,AdaBoost,F1_score,0.9807692307692307
105,GradientBoost,F1_score,1.0
106,GradientBoost,F1_score,1.0
107,GradientBoost,F1_score,0.702127659574468
108,GradientBoost,F1_score,0.8301886792452831
109,GradientBoost,F1_score,1.0
110,XGBoost,F1_score,0.9411764705882353
111,XGBoost,F1_score,0.9807692307692307
112,XGBoost,F1_score,0.6881720430107527
113,XGBoost,F1_score,0.8349514563106797
114,XGBoost,F1_score,1.0
115,CatBoost,F1_score,0.888888888888889
116,CatBoost,F1_score,0.9904761904761905
117,CatBoost,F1_score,0.702127659574468
118,CatBoost,F1_score,0.8627450980392156
119,CatBoost,F1_score,1.0
120,Decision Tree,F1_score,0.888888888888889
121,Decision Tree,F1_score,0.9292929292929293
122,Decision Tree,F1_score,0.6851851851851852
123,Decision Tree,F1_score,0.8163265306122449
124,Decision Tree,F1_score,0.8760330578512397
125,Linear SVM,F1_score,0.7741935483870969
126,Linear SVM,F1_score,0.9607843137254902
127,Linear SVM,F1_score,0.64
128,Linear SVM,F1_score,0.9111111111111111
129,Linear SVM,F1_score,0.8793103448275862
130,DT-based Bagging,F1_score,0.9411764705882353
131,DT-based Bagging,F1_score,0.9504950495049505
132,DT-based Bagging,F1_score,0.7551020408163266
133,DT-based Bagging,F1_score,0.8301886792452831
134,DT-based Bagging,F1_score,1.0
135,RandomForest,F1_score,0.9156626506024096
136,RandomForest,F1_score,0.9807692307692307
137,RandomForest,F1_score,0.6947368421052631
138,RandomForest,F1_score,0.8224299065420562
139,RandomForest,F1_score,0.9904761904761905
140,AdaBoost,F1_score,0.9473684210526316
141,AdaBoost,F1_score,0.9904761904761905
142,AdaBoost,F1_score,0.7096774193548386
143,AdaBoost,F1_score,0.838095238095238
144,AdaBoost,F1_score,0.9807692307692307
145,GradientBoost,F1_score,1.0
146,GradientBoost,F1_score,1.0
147,GradientBoost,F1_score,0.702127659574468
148,GradientBoost,F1_score,0.8301886792452831
149,GradientBoost,F1_score,1.0
150,XGBoost,F1_score,0.9411764705882353
151,XGBoost,F1_score,0.9807692307692307
152,XGBoost,F1_score,0.6881720430107527
153,XGBoost,F1_score,0.8349514563106797
154,XGBoost,F1_score,1.0
155,CatBoost,F1_score,0.888888888888889
156,CatBoost,F1_score,0.9904761904761905
157,CatBoost,F1_score,0.702127659574468
158,CatBoost,F1_score,0.8627450980392156
159,CatBoost,F1_score,1.0
160,Decision Tree,F1_score,0.888888888888889
161,Decision Tree,F1_score,0.9292929292929293
162,Decision Tree,F1_score,0.7551020408163266
163,Decision Tree,F1_score,0.8163265306122449
164,Decision Tree,F1_score,0.8760330578512397
165,Linear SVM,F1_score,0.7741935483870969
166,Linear SVM,F1_score,0.9607843137254902
167,Linear SVM,F1_score,0.64
168,Linear SVM,F1_score,0.9111111111111111
169,Linear SVM,F1_score,0.8793103448275862
170,DT-based Bagging,F1_score,0.9156626506024096
171,DT-based Bagging,F1_score,0.9904761904761905
172,DT-based Bagging,F1_score,0.702127659574468
173,DT-based Bagging,F1_score,0.8653846153846153
174,DT-based Bagging,F1_score,0.9904761904761905
175,RandomForest,F1_score,0.9156626506024096
176,RandomForest,F1_score,0.9607843137254902
177,RandomForest,F1_score,0.702127659574468
178,RandomForest,F1_score,0.8224299065420562
179,RandomForest,F1_score,0.9904761904761905
180,AdaBoost,F1_score,0.9090909090909091
181,AdaBoost,F1_score,1.0
182,AdaBoost,F1_score,0.7096774193548386
183,AdaBoost,F1_score,0.7962962962962964
184,AdaBoost,F1_score,0.9807692307692307
185,GradientBoost,F1_score,1.0
186,GradientBoost,F1_score,1.0
187,GradientBoost,F1_score,0.702127659574468
188,GradientBoost,F1_score,0.8301886792452831
189,GradientBoost,F1_score,1.0
190,XGBoost,F1_score,0.9411764705882353
191,XGBoost,F1_score,0.9807692307692307
192,XGBoost,F1_score,0.6881720430107527
193,XGBoost,F1_score,0.8349514563106797
194,XGBoost,F1_score,1.0
195,CatBoost,F1_score,0.888888888888889
196,CatBoost,F1_score,0.9904761904761905
197,CatBoost,F1_score,0.702127659574468
198,CatBoost,F1_score,0.8627450980392156
199,CatBoost,F1_score,1.0
200,Decision Tree,F1_score,0.888888888888889
201,Decision Tree,F1_score,0.9292929292929293
202,Decision Tree,F1_score,0.6851851851851852
203,Decision Tree,F1_score,0.8163265306122449
204,Decision Tree,F1_score,0.8760330578512397
205,Linear SVM,F1_score,0.7741935483870969
206,Linear SVM,F1_score,0.9607843137254902
207,Linear SVM,F1_score,0.64
208,Linear SVM,F1_score,0.9111111111111111
209,Linear SVM,F1_score,0.8793103448275862
210,DT-based Bagging,F1_score,0.9411764705882353
211,DT-based Bagging,F1_score,0.9423076923076923
212,DT-based Bagging,F1_score,0.7157894736842104
213,DT-based Bagging,F1_score,0.7755102040816326
214,DT-based Bagging,F1_score,0.9904761904761905
215,RandomForest,F1_score,0.9156626506024096
216,RandomForest,F1_score,0.9807692307692307
217,RandomForest,F1_score,0.6947368421052631
218,RandomForest,F1_score,0.8301886792452831
219,RandomForest,F1_score,0.9904761904761905
220,AdaBoost,F1_score,0.967741935483871
221,AdaBoost,F1_score,0.9904761904761905
222,AdaBoost,F1_score,0.7096774193548386
223,AdaBoost,F1_score,0.8224299065420562
224,AdaBoost,F1_score,0.9807692307692307
225,GradientBoost,F1_score,1.0
226,GradientBoost,F1_score,1.0
227,GradientBoost,F1_score,0.702127659574468
228,GradientBoost,F1_score,0.8301886792452831
229,GradientBoost,F1_score,1.0
230,XGBoost,F1_score,0.9411764705882353
231,XGBoost,F1_score,0.9807692307692307
232,XGBoost,F1_score,0.6881720430107527
233,XGBoost,F1_score,0.8349514563106797
234,XGBoost,F1_score,1.0
235,CatBoost,F1_score,0.888888888888889
236,CatBoost,F1_score,0.9904761904761905
237,CatBoost,F1_score,0.702127659574468
238,CatBoost,F1_score,0.8627450980392156
239,CatBoost,F1_score,1.0
240,Decision Tree,F1_score,0.888888888888889
241,Decision Tree,F1_score,0.9292929292929293
242,Decision Tree,F1_score,0.7551020408163266
243,Decision Tree,F1_score,0.8163265306122449
244,Decision Tree,F1_score,0.8760330578512397
245,Linear SVM,F1_score,0.7741935483870969
246,Linear SVM,F1_score,0.9607843137254902
247,Linear SVM,F1_score,0.64
248,Linear SVM,F1_score,0.9111111111111111
249,Linear SVM,F1_score,0.8793103448275862
250,DT-based Bagging,F1_score,0.9285714285714286
251,DT-based Bagging,F1_score,0.970873786407767
252,DT-based Bagging,F1_score,0.702127659574468
253,DT-based Bagging,F1_score,0.838095238095238
254,DT-based Bagging,F1_score,0.9904761904761905
255,RandomForest,F1_score,0.888888888888889
256,RandomForest,F1_score,0.9807692307692307
257,RandomForest,F1_score,0.6947368421052631
258,RandomForest,F1_score,0.8148148148148148
259,RandomForest,F1_score,1.0
260,AdaBoost,F1_score,0.9090909090909091
261,AdaBoost,F1_score,1.0
262,AdaBoost,F1_score,0.7096774193548386
263,AdaBoost,F1_score,0.838095238095238
264,AdaBoost,F1_score,0.970873786407767
265,GradientBoost,F1_score,1.0
266,GradientBoost,F1_score,1.0
267,GradientBoost,F1_score,0.702127659574468
268,GradientBoost,F1_score,0.8301886792452831
269,GradientBoost,F1_score,1.0
270,XGBoost,F1_score,0.9411764705882353
271,XGBoost,F1_score,0.9807692307692307
272,XGBoost,F1_score,0.6881720430107527
273,XGBoost,F1_score,0.8349514563106797
274,XGBoost,F1_score,1.0
275,CatBoost,F1_score,0.888888888888889
276,CatBoost,F1_score,0.9904761904761905
277,CatBoost,F1_score,0.702127659574468
278,CatBoost,F1_score,0.8627450980392156
279,CatBoost,F1_score,1.0
280,Decision Tree,F1_score,0.888888888888889
281,Decision Tree,F1_score,0.9292929292929293
282,Decision Tree,F1_score,0.7551020408163266
283,Decision Tree,F1_score,0.8163265306122449
284,Decision Tree,F1_score,0.8760330578512397
285,Linear SVM,F1_score,0.7741935483870969
286,Linear SVM,F1_score,0.9607843137254902
287,Linear SVM,F1_score,0.64
288,Linear SVM,F1_score,0.9111111111111111
289,Linear SVM,F1_score,0.8793103448275862
290,DT-based Bagging,F1_score,0.888888888888889
291,DT-based Bagging,F1_score,0.9504950495049505
292,DT-based Bagging,F1_score,0.6875
293,DT-based Bagging,F1_score,0.8301886792452831
294,DT-based Bagging,F1_score,1.0
295,RandomForest,F1_score,0.888888888888889
296,RandomForest,F1_score,0.9607843137254902
297,RandomForest,F1_score,0.702127659574468
298,RandomForest,F1_score,0.8301886792452831
299,RandomForest,F1_score,1.0
300,AdaBoost,F1_score,0.9
301,AdaBoost,F1_score,1.0
302,AdaBoost,F1_score,0.7096774193548386
303,AdaBoost,F1_score,0.8461538461538463
304,AdaBoost,F1_score,0.9807692307692307
305,GradientBoost,F1_score,1.0
306,GradientBoost,F1_score,1.0
307,GradientBoost,F1_score,0.702127659574468
308,GradientBoost,F1_score,0.8301886792452831
309,GradientBoost,F1_score,1.0
310,XGBoost,F1_score,0.9411764705882353
311,XGBoost,F1_score,0.9807692307692307
312,XGBoost,F1_score,0.6881720430107527
313,XGBoost,F1_score,0.8349514563106797
314,XGBoost,F1_score,1.0
315,CatBoost,F1_score,0.888888888888889
316,CatBoost,F1_score,0.9904761904761905
317,CatBoost,F1_score,0.702127659574468
318,CatBoost,F1_score,0.8627450980392156
319,CatBoost,F1_score,1.0
320,Decision Tree,F1_score,0.888888888888889
321,Decision Tree,F1_score,0.9292929292929293
322,Decision Tree,F1_score,0.7551020408163266
323,Decision Tree,F1_score,0.8163265306122449
324,Decision Tree,F1_score,0.8760330578512397
325,Linear SVM,F1_score,0.7741935483870969
326,Linear SVM,F1_score,0.9607843137254902
327,Linear SVM,F1_score,0.64
328,Linear SVM,F1_score,0.9111111111111111
329,Linear SVM,F1_score,0.8793103448275862
